,Mean,StdErr,DownCI,UpCI,Network,Zir,SampleSize,Method
68,0.130797577,0.004345684,0.122280192,0.139314962,WS,zir50,n500,MENA
69,0.081238106,0.003009315,0.075339957,0.087136254,BA,zir50,n50,MENA
70,0.091452566,0.003187395,0.085205386,0.097699745,BA,zir50,n100,MENA
71,0.100412337,0.003003853,0.094524893,0.10629978,BA,zir50,n500,MENA
72,0.046694157,0.003575181,0.039686932,0.053701382,ER,zir35,n50,HARMONIES
73,0.052415111,0.004069806,0.044438438,0.060391783,ER,zir35,n100,HARMONIES
74,0.046049352,0.004122977,0.037968466,0.054130237,ER,zir35,n500,HARMONIES
75,0.046518789,0.003700133,0.039266662,0.053770916,WS,zir35,n50,HARMONIES
76,0.136412737,0.008786124,0.119192252,0.153633223,WS,zir35,n100,HARMONIES
77,0.052937809,0.004432858,0.044249566,0.061626052,WS,zir35,n500,HARMONIES
78,0.041017278,0.004168227,0.032847704,0.049186853,BA,zir35,n50,HARMONIES
79,0.02865133,0.002442389,0.023864336,0.033438324,BA,zir35,n100,HARMONIES
80,0.057801494,0.006312443,0.045429334,0.070173654,BA,zir35,n500,HARMONIES
81,0.049810461,0.003681827,0.042594213,0.057026708,ER,zir50,n50,HARMONIES
82,0.05229319,0.004105962,0.044245652,0.060340728,ER,zir50,n100,HARMONIES
83,0.045635901,0.004394243,0.037023343,0.05424846,ER,zir50,n500,HARMONIES
84,0.04730691,0.003451026,0.040543023,0.054070796,WS,zir50,n50,HARMONIES
85,0.053747936,0.00350301,0.046882164,0.060613709,WS,zir50,n100,HARMONIES
86,0.041467118,0.003659354,0.034294917,0.04863932,WS,zir50,n500,HARMONIES
87,0.039449205,0.004113079,0.031387718,0.047510692,BA,zir50,n50,HARMONIES
88,0.041428272,0.003791871,0.033996342,0.048860201,BA,zir50,n100,HARMONIES
89,0.054697746,0.003639286,0.047564876,0.061830615,BA,zir50,n500,HARMONIES
90,0.289366342,0.0050571,0.279454609,0.299278075,ER,zir35,n50,MicroNet-MIMRF
91,0.307444875,0.004079356,0.299449484,0.315440265,ER,zir35,n100,MicroNet-MIMRF
92,0.327618786,0.003420654,0.320914427,0.334323145,ER,zir35,n500,MicroNet-MIMRF
93,0.358884448,0.004920865,0.349239731,0.368529165,WS,zir35,n50,MicroNet-MIMRF
94,0.368354128,0.004648666,0.359242911,0.377465346,WS,zir35,n100,MicroNet-MIMRF
95,0.394903048,0.003288515,0.388457677,0.401348418,WS,zir35,n500,MicroNet-MIMRF
96,0.25924699,0.004922672,0.249598731,0.26889525,BA,zir35,n50,MicroNet-MIMRF
97,0.278021364,0.005251074,0.267729449,0.288313279,BA,zir35,n100,MicroNet-MIMRF
98,0.296781708,0.004496715,0.287968308,0.305595107,BA,zir35,n500,MicroNet-MIMRF
99,0.321238318,0.003643003,0.314098163,0.328378473,ER,zir50,n50,MicroNet-MIMRF
100,0.318847118,0.003680322,0.311633819,0.326060417,ER,zir50,n100,MicroNet-MIMRF
101,0.329233068,0.003606434,0.322164588,0.336301548,ER,zir50,n500,MicroNet-MIMRF
102,0.385486197,0.003023353,0.379560535,0.391411859,WS,zir50,n50,MicroNet-MIMRF
103,0.387881983,0.003723208,0.38058463,0.395179336,WS,zir50,n100,MicroNet-MIMRF
104,0.384629418,0.003762087,0.377255863,0.392002972,WS,zir50,n500,MicroNet-MIMRF
105,0.298278416,0.004284281,0.28988138,0.306675453,BA,zir50,n50,MicroNet-MIMRF
106,0.288515109,0.004723575,0.279257073,0.297773145,BA,zir50,n100,MicroNet-MIMRF
107,0.301793249,0.004125266,0.293707876,0.309878622,BA,zir50,n500,MicroNet-MIMRF
