,Node_1,Node_2,Edge
143,Bacteroides,Burkholderiales_noname,False
144,Bacteroides,Oxalobacter,False
145,Bacteroides,Parasutterella,False
146,Bacteroides,Sutterella,False
147,Bacteroides,Bilophila,False
148,Bacteroides,Desulfovibrio,False
149,Bacteroides,Enterobacter,False
150,Bacteroides,Escherichia,True
151,Bacteroides,Klebsiella,False
152,Bacteroides,Proteus,True
153,Bacteroides,Haemophilus,False
154,Bacteroides,Akkermansia,True
155,Bacteroides,Podoviridae_noname,False
156,Bacteroides,C2likevirus,False
157,Bacteroides,Siphoviridae_noname,False
158,Bacteroides,Mastadenovirus,True
159,Bacteroidales_noname,Bifidobacterium,False
160,Bacteroidales_noname,Collinsella,False
161,Bacteroidales_noname,Bacteroides,False
162,Bacteroidales_noname,Bacteroidales_noname,False
163,Bacteroidales_noname,Barnesiella,True
164,Bacteroidales_noname,Dysgonomonas,False
165,Bacteroidales_noname,Odoribacter,False
166,Bacteroidales_noname,Parabacteroides,False
167,Bacteroidales_noname,Paraprevotella,False
168,Bacteroidales_noname,Prevotella,False
169,Bacteroidales_noname,Alistipes,True
170,Bacteroidales_noname,Streptococcus,False
171,Bacteroidales_noname,Clostridium,False
172,Bacteroidales_noname,Clostridiales_noname,False
173,Bacteroidales_noname,Flavonifractor,True
174,Bacteroidales_noname,Eubacterium,False
175,Bacteroidales_noname,Anaerostipes,False
176,Bacteroidales_noname,Blautia,False
177,Bacteroidales_noname,Butyrivibrio,False
178,Bacteroidales_noname,Cellulosilyticum,False
179,Bacteroidales_noname,Coprococcus,False
180,Bacteroidales_noname,Dorea,True
181,Bacteroidales_noname,Lachnospiraceae_noname,False
182,Bacteroidales_noname,Roseburia,False
183,Bacteroidales_noname,Oscillibacter,False
184,Bacteroidales_noname,Peptostreptococcaceae_noname,False
185,Bacteroidales_noname,Faecalibacterium,False
186,Bacteroidales_noname,Ruminococcus,False
187,Bacteroidales_noname,Subdoligranulum,False
188,Bacteroidales_noname,Coprobacillus,False
189,Bacteroidales_noname,Erysipelotrichaceae_noname,False
190,Bacteroidales_noname,Acidaminococcus,False
191,Bacteroidales_noname,Phascolarctobacterium,True
192,Bacteroidales_noname,Dialister,False
193,Bacteroidales_noname,Megamonas,False
194,Bacteroidales_noname,Megasphaera,False
195,Bacteroidales_noname,Veillonella,False
196,Bacteroidales_noname,Burkholderiales_noname,False
197,Bacteroidales_noname,Oxalobacter,False
198,Bacteroidales_noname,Parasutterella,False
199,Bacteroidales_noname,Sutterella,False
200,Bacteroidales_noname,Bilophila,False
201,Bacteroidales_noname,Desulfovibrio,False
202,Bacteroidales_noname,Enterobacter,False
203,Bacteroidales_noname,Escherichia,False
204,Bacteroidales_noname,Klebsiella,False
205,Bacteroidales_noname,Proteus,False
206,Bacteroidales_noname,Haemophilus,False
207,Bacteroidales_noname,Akkermansia,False
208,Bacteroidales_noname,Podoviridae_noname,False
209,Bacteroidales_noname,C2likevirus,False
210,Bacteroidales_noname,Siphoviridae_noname,False
211,Bacteroidales_noname,Mastadenovirus,False
212,Barnesiella,Bifidobacterium,True
213,Barnesiella,Collinsella,False
214,Barnesiella,Bacteroides,False
215,Barnesiella,Bacteroidales_noname,False
216,Barnesiella,Barnesiella,False
217,Barnesiella,Dysgonomonas,False
218,Barnesiella,Odoribacter,False
219,Barnesiella,Parabacteroides,False
220,Barnesiella,Paraprevotella,False
221,Barnesiella,Prevotella,False
222,Barnesiella,Alistipes,True
223,Barnesiella,Streptococcus,False
224,Barnesiella,Clostridium,False
225,Barnesiella,Clostridiales_noname,True
226,Barnesiella,Flavonifractor,False
227,Barnesiella,Eubacterium,True
228,Barnesiella,Anaerostipes,True
229,Barnesiella,Blautia,False
230,Barnesiella,Butyrivibrio,False
231,Barnesiella,Cellulosilyticum,False
232,Barnesiella,Coprococcus,False
233,Barnesiella,Dorea,False
234,Barnesiella,Lachnospiraceae_noname,False
235,Barnesiella,Roseburia,False
236,Barnesiella,Oscillibacter,False
237,Barnesiella,Peptostreptococcaceae_noname,False
238,Barnesiella,Faecalibacterium,False
239,Barnesiella,Ruminococcus,True
240,Barnesiella,Subdoligranulum,False
241,Barnesiella,Coprobacillus,False
242,Barnesiella,Erysipelotrichaceae_noname,False
243,Barnesiella,Acidaminococcus,False
244,Barnesiella,Phascolarctobacterium,False
245,Barnesiella,Dialister,False
246,Barnesiella,Megamonas,True
247,Barnesiella,Megasphaera,False
248,Barnesiella,Veillonella,True
249,Barnesiella,Burkholderiales_noname,False
250,Barnesiella,Oxalobacter,False
251,Barnesiella,Parasutterella,False
252,Barnesiella,Sutterella,True
253,Barnesiella,Bilophila,False
254,Barnesiella,Desulfovibrio,False
255,Barnesiella,Enterobacter,False
256,Barnesiella,Escherichia,False
257,Barnesiella,Klebsiella,False
258,Barnesiella,Proteus,False
259,Barnesiella,Haemophilus,False
260,Barnesiella,Akkermansia,True
261,Barnesiella,Podoviridae_noname,False
262,Barnesiella,C2likevirus,False
263,Barnesiella,Siphoviridae_noname,False
264,Barnesiella,Mastadenovirus,False
265,Dysgonomonas,Bifidobacterium,False
266,Dysgonomonas,Collinsella,False
267,Dysgonomonas,Bacteroides,False
268,Dysgonomonas,Bacteroidales_noname,False
269,Dysgonomonas,Barnesiella,False
270,Dysgonomonas,Dysgonomonas,False
271,Dysgonomonas,Odoribacter,False
272,Dysgonomonas,Parabacteroides,True
273,Dysgonomonas,Paraprevotella,False
274,Dysgonomonas,Prevotella,False
275,Dysgonomonas,Alistipes,True
276,Dysgonomonas,Streptococcus,False
277,Dysgonomonas,Clostridium,False
